31.3789,Unsorted:,2.12008/245.62/520.734,1.88969/185.594/350.714,2.07993/422.327/878.408,1.40311/208.123/292.02,1.83932/444.9/818.313,1.68132/384.878/647.103,2.04376/576.507/1178.24,
31.379,Unsorted:,2.41974/162.039/392.093,1.81315/214.856/389.566,2.14352/367.989/788.791,1.4174/190.521/270.045,1.9446/343.507/667.983,1.67469/396.459/663.947,2.09483/509.258/1066.81,
31.379,Unsorted:,2.15794/241.311/520.734,1.78946/213.28/381.655,2.03998/445.735/909.29,1.35684/236.834/321.347,1.80554/469.434/847.584,1.60273/441.283/707.256,1.98017/625.372/1238.34,
31.381,Selected:,5,3,5,Total:1016.68/1624.4,OK,CLA:384.878/647.103,UUV:0,Config:5,true

1026.05,Unsorted:,2.12382/243.883/517.964,1.88825/186.07/351.346,2.0811/421.063/876.274,7.90438/5.7121/45.1506,2.32171/245.146/569.16,2.14232/187.341/401.345,2.20371/422.006/929.98,
1026.05,Unsorted:,2.41974/162.039/392.093,1.81315/214.856/389.566,2.14352/367.989/788.791,1.4174/190.521/270.045,1.9446/343.507/667.983,1.67469/396.459/663.947,2.09483/509.258/1066.81,
1026.05,Unsorted:,2.15794/241.311/520.734,1.78946/213.28/381.655,2.03998/445.735/909.29,1.35684/236.834/321.347,1.80554/469.434/847.584,1.60273/441.283/707.256,1.98017/625.372/1238.34,
1026.05,Selected:,1,5,5,Total:1023.81/1722.55,OK,CLA:186.07/351.346,UUV:0,Config:1,true

1156.95,Unsorted:,2.12008/245.62/520.734,1.89778/182.96/347.217,2.08469/419.688/874.919,1.39297/213.806/297.824,1.82893/450.593/824.106,1.67402/387.933/649.406,2.03775/579.337/1180.54,
1156.95,Unsorted:,2.41974/162.039/392.093,1.81315/214.856/389.566,2.14352/367.989/788.791,1.4174/190.521/270.045,1.9446/343.507/667.983,1.67469/396.459/663.947,2.09483/509.258/1066.81,
1156.95,Unsorted:,2.15794/241.311/520.734,1.78946/213.28/381.655,2.03998/445.735/909.29,1.35684/236.834/321.347,1.80554/469.434/847.584,1.60273/441.283/707.256,1.98017/625.372/1238.34,
1156.95,Selected:,5,3,5,Total:1019.74/1626.71,OK,CLA:387.933/649.406,UUV:0,Config:5,true

3017.83,Unsorted:,2.12008/245.62/520.734,1.89778/182.96/347.217,2.08469/419.688/874.919,1.39297/213.806/297.824,1.82893/450.593/824.106,1.67402/387.933/649.406,2.03775/579.337/1180.54,
3017.83,Unsorted:,2.41974/162.039/392.093,1.81315/214.856/389.566,2.14352/367.989/788.791,1.4174/190.521/270.045,1.9446/343.507/667.983,1.67469/396.459/663.947,2.09483/509.258/1066.81,
3017.83,Unsorted:,2.15794/241.311/520.734,2.1348/125.029/266.912,2.2243/357.312/794.768,1.35475/238.324/322.87,1.80304/470.928/849.104,1.67701/354.353/594.253,2.06529/544.935/1125.45,
3017.83,Selected:,5,5,3,Total:1022.72/1636.22,OK,CLA:387.933/649.406,UUV:0,Config:5,true

3129.27,Unsorted:,2.12008/245.62/520.734,1.89778/182.96/347.217,2.08469/419.688/874.919,1.39297/213.806/297.824,1.82893/450.593/824.106,1.67402/387.933/649.406,2.03775/579.337/1180.54,
3129.27,Unsorted:,2.41974/162.039/392.093,1.81315/214.856/389.566,2.14352/367.989/788.791,1.4174/190.521/270.045,1.9446/343.507/667.983,1.67469/396.459/663.947,2.09483/509.258/1066.81,
3129.27,Unsorted:,2.15794/241.311/520.734,1.77848/218.178/388.025,2.03187/450.643/915.648,1.35259/239.882/324.461,1.80045/472.489/850.692,1.59539/449.245/716.722,1.97186/632.797/1247.79,
3129.27,Selected:,5,3,5,Total:1027.7/1636.17,OK,CLA:387.933/649.406,UUV:0,Config:5,true

4044.05,Unsorted:,2.12008/245.62/520.734,1.89778/182.96/347.217,2.08469/419.688/874.919,1.39297/213.806/297.824,1.82893/450.593/824.106,1.67402/387.933/649.406,2.03775/579.337/1180.54,
4044.05,Unsorted:,2.41974/162.039/392.093,1.81315/214.856/389.566,2.14352/367.989/788.791,1.4174/190.521/270.045,1.9446/343.507/667.983,1.67469/396.459/663.947,2.09483/509.258/1066.81,
4044.05,Unsorted:,2.15879/240.929/520.114,1.7898/213.127/381.455,2.0406/445.199/908.473,1.56383/146.481/229.072,1.99424/378.524/754.866,1.75401/350.602/614.958,2.1236/539.418/1145.51,
4044.05,Selected:,5,3,2,Total:1023.65/1827.92,OK,CLA:387.933/649.406,UUV:0,Config:5,true

