24.0646,Unsorted:,1.76574/271.383/479.191,1.4959/211.533/316.432,1.64462/481.453/791.809,1.13512/239.371/271.715,1.46643/509.3/746.854,1.29913/449.45/583.894,1.5824/669.774/1059.85,
24.0646,Unsorted:,1.85463/188.236/349.109,1.47967/239.704/354.682,1.64138/426.473/700.006,1.12334/216.274/242.95,1.45913/403.019/588.058,1.30553/454.509/593.376,1.46581/640.815/939.315,
24.0647,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46228/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
24.066,Selected:,4,-1,5,Total:1012.89/1390.65,OK,CLA:503.594/643.8,UUV:2,Config:5,true

51.9487,Unsorted:,1.76772/267.458/472.791,1.49688/210.039/314.404,1.64565/476.032/783.384,1.1386/230.537/262.489,1.47266/496.537/731.232,1.30407/439.12/572.644,1.58753/656.497/1042.21,
51.9488,Unsorted:,1.85463/188.236/349.109,1.47967/239.704/354.682,1.64138/426.473/700.006,1.12334/216.274/242.95,1.45913/403.019/588.058,1.30553/454.509/593.376,1.46581/640.815/939.315,
51.9488,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46228/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
51.951,Selected:,4,-1,5,Total:1000.13/1375.03,OK,CLA:503.594/643.8,UUV:2,Config:5,true

72.6734,Unsorted:,1.76253/277.961/489.915,1.49678/210.199/314.621,1.64521/486.698/800.719,1.13455/240.899/273.311,1.46725/517.408/759.169,1.29809/449.645/583.679,1.58336/676.004/1070.36,
72.6734,Unsorted:,1.85463/188.236/349.109,1.47967/239.704/354.682,1.64138/426.473/700.006,1.12334/216.274/242.95,1.45913/403.019/588.058,1.30553/454.509/593.376,1.46581/640.815/939.315,
72.6734,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46228/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
72.6747,Selected:,3,1,4,Total:1006.81/1397.45,OK,CLA:526.202/769.452,UUV:2,Config:4,true

92.1784,Unsorted:,1.76574/271.383/479.191,1.49484/213.173/318.659,1.64364/483.094/794.035,1.13776/232.6/264.643,1.47213/502.527/739.784,1.30324/444.318/579.051,1.58649/664.997/1055.01,
92.1785,Unsorted:,1.85463/188.236/349.109,1.48334/232.68/345.144,1.64615/419.447/690.471,1.12327/216.452/243.133,1.45894/403.197/588.24,1.30461/447.661/584.024,1.4669/633.965/929.964,
92.1785,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46228/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
92.1807,Selected:,4,-1,5,Total:1006.12/1383.58,OK,CLA:503.594/643.8,UUV:2,Config:5,true

132.206,Unsorted:,1.7628/277.392/488.987,1.49707/209.761/314.026,1.64549/485.69/799.197,1.13473/240.401/272.791,1.46749/516.341/757.723,1.29832/448.708/582.565,1.58363/674.601/1068.32,
132.206,Unsorted:,1.85463/188.236/349.109,1.48334/232.68/345.144,1.64615/419.447/690.471,1.12327/216.452/243.133,1.45894/403.197/588.24,1.30461/447.661/584.024,1.4669/633.965/929.964,
132.206,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46228/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
